miss	0	1
1500	params_1.100000_2.000000	0.0131204
2000	params_1.100000_2.000000	0.00875955
2500	params_1.100000_2.000000	0.0126473
3000	params_1.100000_2.000000	0.00446216
3500	params_1.100000_2.000000	0.00246697
4000	params_1.100000_2.000000	0.00275378
4500	params_1.100000_2.000000	0.00367144
5000	params_1.100000_2.000000	0.00853904
5500	params_1.100000_2.000000	0.028266399999999997
6000	params_1.100000_2.000000	0.242644
6500	params_1.100000_2.000000	0.507338
7000	params_1.100000_2.000000	0.884397
7500	params_1.100000_2.000000	0.947205
