miss	0	1
1500	params_2.900000_8.000000	0.849448
2000	params_2.900000_8.000000	0.947133
2500	params_2.300000_2.000000	0.8548530000000001
3000	params_2.300000_2.000000	0.9935799999999999
3500	params_2.900000_8.000000	0.9962340000000001
4000	params_2.900000_4.000000	0.9935620000000001
4500	params_2.500000_4.000000	0.992732
5000	params_1.700000_2.000000	0.994584
5500	params_2.900000_8.000000	0.9921280000000001
6000	params_2.900000_8.000000	0.989865
6500	params_2.500000_4.000000	0.9882040000000001
7000	params_1.700000_2.000000	0.975325
7500	params_2.900000_8.000000	0.950067
