miss	0	1
1500	params_2.700000_8.000000	0.106375
2000	params_2.300000_16.000000	0.121422
2500	params_2.300000_16.000000	0.14177599999999999
3000	params_2.300000_16.000000	0.158661
3500	params_2.300000_16.000000	0.176502
4000	params_2.300000_16.000000	0.197596
4500	params_2.300000_16.000000	0.220164
5000	params_2.300000_16.000000	0.24601199999999998
5500	params_2.300000_16.000000	0.275306
6000	params_1.300000_8.000000	0.317369
6500	params_1.300000_8.000000	0.377732
7000	params_1.700000_8.000000	0.463215
7500	params_1.700000_8.000000	0.593301
