1500	0	595 0 0 905 1.0000000000
1500	1	583 0 0 917 1.0000000000
1500	2	599 0 0 901 1.0000000000
1500	3	586 0 0 914 1.0000000000
1500	4	598 0 0 902 1.0000000000
2000	0	775 0 0 1225 1.0000000000
2000	1	801 0 0 1199 1.0000000000
2000	2	796 0 0 1204 1.0000000000
2000	3	770 4 8 1218 0.9922680412
2000	4	803 0 0 1197 1.0000000000
2500	0	971 0 3 1526 0.9984575835
2500	1	985 7 6 1502 0.9934442763
2500	2	991 0 0 1509 1.0000000000
2500	3	1004 0 0 1496 1.0000000000
2500	4	1003 1 14 1482 0.9925779317
3000	0	1177 0 0 1823 1.0000000000
3000	1	1170 3 22 1805 0.9894291755
3000	2	1168 5 22 1805 0.9885738468
3000	3	1206 9 16 1769 0.9897414854
3000	4	1173 0 17 1810 0.9928057554
3500	0	1337 16 34 2113 0.9816446402
3500	1	1320 25 67 2088 0.9663250366
3500	2	1358 23 44 2075 0.9759252605
3500	3	1338 35 74 2053 0.9608617594
3500	4	1361 7 67 2065 0.9735336195
4000	0	1485 27 97 2391 0.9599224305
4000	1	1476 48 111 2365 0.9488910318
4000	2	1526 49 93 2332 0.9555416406
4000	3	1477 53 131 2339 0.9413639261
4000	4	1542 27 74 2357 0.9682888540
4500	0	1677 62 101 2660 0.9536536821
4500	1	1672 38 130 2660 0.9521640091
4500	2	1570 73 250 2607 0.9067282703
4500	3	1697 58 134 2611 0.9464584495
4500	4	1714 26 129 2631 0.9567401619
5000	0	1733 65 246 2956 0.9176595181
5000	1	1734 74 264 2928 0.9111928534
5000	2	1830 49 175 2946 0.9423274974
5000	3	1814 77 245 2864 0.9184810127
5000	4	1798 70 210 2922 0.9277605779
5500	0	1810 107 371 3212 0.8833577355
5500	1	1709 86 517 3188 0.8500373042
5500	2	1664 182 533 3121 0.8231511254
5500	3	1858 125 373 3144 0.8818224964
5500	4	1784 120 405 3191 0.8717322258
6000	0	1746 150 633 3471 0.8168421053
6000	1	1778 155 658 3409 0.8139162280
6000	2	1560 99 911 3430 0.7554479419
6000	3	1705 132 678 3485 0.8080568720
6000	4	1590 158 811 3441 0.7664497469
6500	0	1604 163 984 3749 0.7366245695
6500	1	1648 216 964 3672 0.7363717605
6500	2	1605 142 1041 3712 0.7307079445
6500	3	1607 169 969 3755 0.7385110294
6500	4	1422 159 1194 3725 0.6776268763
7000	0	1463 320 1336 3881 0.6385857704
7000	1	1590 277 1209 3924 0.6815259323
7000	2	1436 160 1368 4036 0.6527272727
7000	3	1375 233 1428 3964 0.6234413965
7000	4	1473 202 1333 3992 0.6574425351
7500	0	1178 270 1814 4238 0.5306306306
7500	1	1337 258 1689 4216 0.5786626271
7500	2	1743 437 1264 4056 0.6720647773
7500	3	1282 322 1737 4159 0.5546182133
7500	4	1378 311 1620 4191 0.5880093877
