1500	0	595 0 0 905 1.0000000000
1500	1	583 0 0 917 1.0000000000
1500	2	598 0 1 901 0.9991645781
1500	3	586 0 0 914 1.0000000000
1500	4	598 0 0 902 1.0000000000
2000	0	765 0 10 1225 0.9935064935
2000	1	797 4 4 1195 0.9950062422
2000	2	796 0 0 1204 1.0000000000
2000	3	771 5 7 1217 0.9922779923
2000	4	803 0 0 1197 1.0000000000
2500	0	965 6 9 1520 0.9922879177
2500	1	986 5 5 1504 0.9949545913
2500	2	980 5 11 1504 0.9919028340
2500	3	991 10 13 1486 0.9885286783
2500	4	1006 3 11 1480 0.9930898322
3000	0	1153 13 24 1810 0.9842082800
3000	1	1166 12 26 1796 0.9839662447
3000	2	1187 6 3 1804 0.9962232480
3000	3	1165 11 57 1767 0.9716430359
3000	4	1142 18 48 1792 0.9719148936
3500	0	1354 12 17 2117 0.9894044574
3500	1	1327 29 60 2084 0.9675537732
3500	2	1367 19 35 2079 0.9806312769
3500	3	1336 25 76 2063 0.9635773530
3500	4	1387 13 41 2059 0.9809052334
4000	0	1556 8 26 2410 0.9891926256
4000	1	1526 25 61 2388 0.9725940089
4000	2	1582 14 37 2367 0.9841368585
4000	3	1495 41 113 2351 0.9510178117
4000	4	1510 41 106 2343 0.9535838333
4500	0	1680 43 98 2679 0.9597257926
4500	1	1721 46 81 2652 0.9644158027
4500	2	1658 55 162 2625 0.9385791112
4500	3	1726 7 105 2662 0.9685746352
4500	4	1746 24 97 2633 0.9665098256
5000	0	1780 82 199 2939 0.9268419682
5000	1	1797 78 201 2924 0.9279628195
5000	2	1735 14 270 2981 0.9243473628
5000	3	1772 71 287 2870 0.9082521784
5000	4	1754 79 254 2913 0.9133038271
5500	0	1930 14 251 3305 0.9357575758
5500	1	1936 0 290 3274 0.9303219606
5500	2	1746 139 451 3164 0.8554630083
5500	3	1894 0 337 3269 0.9183030303
5500	4	1778 127 411 3184 0.8685881778
6000	0	1949 23 430 3598 0.8958860032
6000	1	1892 126 544 3438 0.8495734172
6000	2	1947 6 524 3523 0.8801989150
6000	3	1888 18 495 3599 0.8803916997
6000	4	1905 145 496 3454 0.8559874186
6500	0	1938 15 650 3897 0.8535564854
6500	1	1491 193 1121 3695 0.6941340782
6500	2	1509 197 1137 3657 0.6934742647
6500	3	1618 175 958 3749 0.7406729229
6500	4	1380 196 1236 3688 0.6583969466
7000	0	1959 62 840 4139 0.8128630705
7000	1	1416 325 1383 3876 0.6237885463
7000	2	1687 224 1117 3972 0.7155885472
7000	3	1903 125 900 4072 0.7878286069
7000	4	1398 204 1408 3990 0.6343012704
7500	0	1147 147 1845 4361 0.5352309846
7500	1	1029 319 1997 4155 0.4705075446
7500	2	1264 433 1743 4060 0.5374149660
7500	3	1322 399 1697 4082 0.5578059072
7500	4	1410 366 1588 4136 0.5906996230
