1500	0	585 3 10 902 0.9890109890
1500	1	576 0 7 917 0.9939603106
1500	2	599 0 0 901 1.0000000000
1500	3	586 0 0 914 1.0000000000
1500	4	598 0 0 902 1.0000000000
2000	0	772 0 3 1225 0.9980607628
2000	1	801 0 0 1199 1.0000000000
2000	2	796 0 0 1204 1.0000000000
2000	3	775 0 3 1222 0.9980682550
2000	4	801 0 2 1197 0.9987531172
2500	0	961 0 13 1526 0.9932816537
2500	1	991 0 0 1509 1.0000000000
2500	2	991 0 0 1509 1.0000000000
2500	3	986 0 18 1496 0.9909547739
2500	4	1017 0 0 1483 1.0000000000
3000	0	1165 0 12 1823 0.9948761742
3000	1	1192 0 0 1808 1.0000000000
3000	2	1189 0 1 1810 0.9995796553
3000	3	1222 0 0 1778 1.0000000000
3000	4	1189 0 1 1810 0.9995796553
3500	0	1356 0 15 2129 0.9944994499
3500	1	1383 7 4 2106 0.9960388909
3500	2	1399 0 3 2098 0.9989289539
3500	3	1389 0 23 2088 0.9917886469
3500	4	1408 0 20 2072 0.9929478138
4000	0	1581 0 1 2418 0.9996838445
4000	1	1571 0 16 2413 0.9949335022
4000	2	1612 0 7 2381 0.9978334881
4000	3	1565 3 43 2389 0.9855163728
4000	4	1555 10 61 2374 0.9776799749
4500	0	1766 0 12 2722 0.9966139955
4500	1	1775 0 27 2698 0.9924517752
4500	2	1792 0 28 2680 0.9922480620
4500	3	1810 0 21 2669 0.9942323537
4500	4	1824 0 19 2657 0.9948186528
5000	0	1958 0 21 3021 0.9946659893
5000	1	1954 7 44 2995 0.9871179591
5000	2	1954 5 51 2990 0.9858728557
5000	3	1997 2 62 2939 0.9842286841
5000	4	1978 2 30 2990 0.9919759278
5500	0	2152 1 29 3318 0.9930779880
5500	1	2178 3 48 3271 0.9884275017
5500	2	2124 7 73 3296 0.9815157116
5500	3	2181 4 50 3265 0.9877717391
5500	4	2150 12 39 3299 0.9882785567
6000	0	2298 35 81 3586 0.9753820034
6000	1	2338 14 98 3550 0.9766081871
6000	2	2309 9 162 3520 0.9642931719
6000	3	2241 14 142 3603 0.9663648124
6000	4	2279 12 122 3587 0.9714407502
6500	0	2381 48 207 3864 0.9491728124
6500	1	2385 33 227 3855 0.9483101392
6500	2	2385 26 261 3828 0.9432469844
6500	3	2341 32 235 3892 0.9460497070
6500	4	2276 89 340 3795 0.9138727163
7000	0	2504 37 295 4164 0.9378277154
7000	1	2511 52 288 4149 0.9365908243
7000	2	2544 27 260 4169 0.9466046512
7000	3	2461 63 342 4134 0.9239722170
7000	4	2509 22 297 4172 0.9402285928
7500	0	2447 101 545 4407 0.8833935018
7500	1	2489 105 537 4369 0.8857651246
7500	2	2413 112 594 4381 0.8723788865
7500	3	2336 80 683 4401 0.8596136155
7500	4	2418 137 580 4365 0.8708806051
